# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.134944
# Diagonal elements of inverse mass matrix:
# 2.47771e-05, 3.23758e-05, 4.86482e-05
40956.5,0.997052,0.134944,4,15,0,-40955.5,0.00855053,0.860735,0.0939124
40956.7,0.905816,0.134944,3,15,0,-40953.5,0.00894027,0.861923,0.0933097
40956.9,0.980959,0.134944,3,11,0,-40956,0.00948766,0.855025,0.0933574
40957.1,0.823206,0.134944,3,11,0,-40954.6,0.00810645,0.859072,0.093397
40956.6,0.986287,0.134944,3,11,0,-40956.4,0.00822496,0.855642,0.0933115
40955.7,0.973592,0.134944,3,7,0,-40954.6,0.00866861,0.853099,0.0936369
40956.4,0.78511,0.134944,2,3,0,-40953.9,0.00975261,0.855589,0.0936357
40955,0.793107,0.134944,3,11,0,-40952.3,0.00865129,0.863673,0.092839
40955.1,0.944224,0.134944,3,7,0,-40953.2,0.00890543,0.864012,0.093072
40954.8,0.708128,0.134944,2,3,0,-40952.2,0.00849412,0.864291,0.0929126
40955.7,0.927933,0.134944,4,15,0,-40951.8,0.00885107,0.86354,0.0935058
40957.2,0.973319,0.134944,4,15,0,-40955,0.00832333,0.858284,0.0936003
40956.8,0.769389,0.134944,2,7,0,-40953.7,0.00838942,0.855367,0.0934488
40957.2,1,0.134944,4,15,0,-40956.7,0.00928373,0.859604,0.0931937
40957.6,0.770781,0.134944,2,7,0,-40954.9,0.0087145,0.856842,0.0934527
40957,0.950688,0.134944,2,7,0,-40956.3,0.00843569,0.855797,0.0934546
40957.5,0.90039,0.134944,3,11,0,-40955.5,0.00852172,0.857955,0.0935255
40956.8,0.982888,0.134944,4,15,0,-40956.6,0.00845567,0.857583,0.0928499
40954.4,0.777143,0.134944,4,15,0,-40950.6,0.010243,0.853378,0.0937091
40955.3,0.998652,0.134944,3,15,0,-40953.9,0.00805,0.853884,0.0934066
40957.3,0.94286,0.134944,3,11,0,-40954.4,0.00826104,0.858817,0.0933289
40957.2,0.999535,0.134944,3,11,0,-40957,0.00829705,0.858769,0.0930742
40957.5,1,0.134944,1,3,0,-40957.1,0.00876444,0.858887,0.093046
40956.6,0.878941,0.134944,4,15,0,-40956,0.00863854,0.854666,0.0930843
40953,0.814425,0.134944,3,7,0,-40951.2,0.00810162,0.854656,0.0923048
40955.4,1,0.134944,3,7,0,-40953.2,0.009162,0.856197,0.0924671
40954.8,0.852222,0.134944,2,3,0,-40954.3,0.0095722,0.855965,0.0924361
40955.4,0.859219,0.134944,3,7,0,-40953.7,0.00984685,0.856802,0.0926805
40953.9,1,0.134944,3,7,0,-40953.6,0.00971957,0.857495,0.0922851
40956.3,0.998891,0.134944,3,7,0,-40953.2,0.0083374,0.860733,0.0927996
40956.1,0.972427,0.134944,4,15,0,-40955.4,0.00940959,0.857817,0.0926499
40956.7,0.979552,0.134944,4,15,0,-40955.3,0.00843178,0.856975,0.0938897
40957.5,1,0.134944,3,15,0,-40956.7,0.00851833,0.857945,0.0935366
40957.5,0.762429,0.134944,2,3,0,-40955.6,0.00881331,0.859452,0.0935722
40954.6,0.777539,0.134944,4,15,0,-40953.9,0.0097662,0.862811,0.0933795
40957.5,0.954649,0.134944,2,7,0,-40948.7,0.00859471,0.859917,0.0933439
40957.7,1,0.134944,3,7,0,-40957.5,0.008668,0.858696,0.093415
40954.2,0.559513,0.134944,3,15,0,-40952.2,0.00768577,0.856366,0.0940994
40957,0.994378,0.134944,3,11,0,-40954.1,0.00816084,0.857256,0.093444
40955.7,0.895833,0.134944,3,13,0,-40955.2,0.00999085,0.856902,0.0937969
40956.2,0.998252,0.134944,3,11,0,-40954.1,0.0082622,0.854741,0.0935637
40954.4,0.856247,0.134944,4,15,0,-40953.2,0.0100286,0.858994,0.0941168
40956.9,0.993691,0.134944,4,15,0,-40954.2,0.00808996,0.858924,0.0931444
40957.5,1,0.134944,1,3,0,-40956.9,0.00863015,0.859301,0.0931323
40957.1,0.986159,0.134944,3,15,0,-40955.3,0.00919134,0.854932,0.0933672
