# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-13 21:35:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-700158b1c6c4.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.152048
# Diagonal elements of inverse mass matrix:
# 0.00390571, 0.0054654, 0.00121953, 8.78946e-05, 0.000891193
292.565,0.829589,0.152048,4,31,0,-291.17,0.122603,0.300805,0.0510168,0.0685611,0.334695
296.415,0.998871,0.152048,5,31,0,-291.235,0.172533,0.388614,-0.0124934,0.0486302,0.37062
292.254,0.706617,0.152048,4,23,0,-287.244,0.343131,0.220777,-0.0315127,0.0288095,0.336042
290.732,0.972674,0.152048,4,15,0,-289.824,0.377316,0.271931,-0.0256714,0.026205,0.336203
296.752,0.99677,0.152048,4,31,0,-288.625,0.195022,0.312846,-0.0365713,0.0551521,0.340277
297.459,0.999706,0.152048,5,31,0,-295.995,0.168997,0.31465,-0.0138933,0.056911,0.350202
298.484,0.946716,0.152048,5,31,0,-294.129,0.214146,0.34916,0.00516048,0.0415223,0.351816
298.199,0.997191,0.152048,5,31,0,-297.714,0.19993,0.317029,0.0389285,0.0433497,0.344332
298.068,0.96893,0.152048,4,15,0,-296.791,0.205805,0.286005,0.0322702,0.0449519,0.344073
297.449,0.996857,0.152048,5,31,0,-296.757,0.189024,0.421846,0.00951703,0.0375319,0.346259
298.018,0.920837,0.152048,4,31,0,-296.013,0.136628,0.413014,0.0281927,0.0448006,0.347121
297.516,0.991271,0.152048,4,15,0,-297.273,0.126552,0.443829,0.0113936,0.0454281,0.350375
296.616,0.991484,0.152048,4,15,0,-295.602,0.0953693,0.482636,0.00630574,0.0521055,0.35717
297.737,0.954841,0.152048,4,15,0,-295.336,0.15143,0.412935,-0.0104064,0.0517256,0.357651
298.282,0.9614,0.152048,5,31,0,-296.768,0.185905,0.368845,0.010662,0.0436453,0.339376
297.852,0.965159,0.152048,5,31,0,-294.702,0.196988,0.294331,-0.00108757,0.0532912,0.360152
296.933,0.977835,0.152048,5,31,0,-295.285,0.146093,0.414534,0.00239304,0.0479878,0.331716
294.743,0.987799,0.152048,4,31,0,-290.62,0.125425,0.331917,-0.00307088,0.067333,0.369396
297.146,0.858655,0.152048,4,15,0,-292.171,0.226034,0.30287,0.019653,0.0485457,0.35198
297.741,0.955144,0.152048,2,3,0,-296.221,0.217564,0.269063,0.0166807,0.0456209,0.352527
295.071,0.837082,0.152048,4,15,0,-293.616,0.247557,0.32529,0.00868749,0.0301432,0.360955
292.978,0.800216,0.152048,4,31,0,-289.499,0.251139,0.398035,0.0267876,0.0303747,0.355123
294.863,0.950949,0.152048,5,31,0,-289.116,0.137199,0.25665,0.0799894,0.0604345,0.360058
296.213,0.876096,0.152048,4,15,0,-291.563,0.159822,0.256542,0.060738,0.0526041,0.355559
298.111,0.996185,0.152048,4,15,0,-295.691,0.149741,0.336523,0.0125563,0.057233,0.354956
297.48,0.977037,0.152048,5,31,0,-296.801,0.0971242,0.403533,0.0369403,0.0536702,0.356018
297.839,0.94052,0.152048,5,31,0,-295.419,0.261824,0.279755,-0.0158222,0.0463477,0.341989
297.236,0.942213,0.152048,5,31,0,-296.171,0.207667,0.243003,0.0210015,0.0512519,0.356335
298.306,0.943276,0.152048,4,23,0,-295.828,0.146364,0.384864,0.0207721,0.0470629,0.348984
297.585,0.999001,0.152048,3,15,0,-296.618,0.151205,0.448072,0.00764699,0.0442444,0.351459
297.958,0.999298,0.152048,5,31,0,-296.881,0.175532,0.286698,0.0316953,0.05566,0.344678
292.59,0.732874,0.152048,4,31,0,-288.486,0.0736228,0.505072,-0.0295293,0.0529371,0.363426
295.202,0.997099,0.152048,5,31,0,-290.781,0.250668,0.232492,0.054273,0.0420146,0.334166
293.823,0.827794,0.152048,5,31,0,-290.178,0.286445,0.235725,-0.0705356,0.054747,0.37104
293.585,0.993086,0.152048,2,3,0,-293.499,0.285803,0.233062,-0.0720492,0.0546157,0.371859
295.293,0.964772,0.152048,5,31,0,-290.524,0.305067,0.331232,-0.0532867,0.0332016,0.338089
296.549,0.966556,0.152048,5,31,0,-293.632,0.197506,0.241518,0.0296833,0.0573668,0.361958
295.304,0.785867,0.152048,5,31,0,-293.278,0.175052,0.462361,0.00193147,0.0421384,0.339834
296.397,0.998775,0.152048,4,15,0,-293.932,0.166008,0.468609,-0.000784927,0.0399384,0.340947
296.764,0.99967,0.152048,5,31,0,-293.455,0.148562,0.319998,0.0811768,0.0470603,0.34537
296.794,0.901401,0.152048,2,3,0,-295.926,0.149758,0.32066,0.0803536,0.0474251,0.345346
296.796,0.91214,0.152048,5,31,0,-294.632,0.0903036,0.465119,-0.00123745,0.0563031,0.352889
297.216,0.997168,0.152048,5,31,0,-294.731,0.24422,0.212705,-0.00399681,0.0548226,0.349393
297.671,0.996404,0.152048,5,31,0,-295.278,0.219891,0.291808,0.0408568,0.0403272,0.344012
297.737,0.993755,0.152048,5,31,0,-296.721,0.193071,0.275102,0.0427535,0.0481859,0.34166
296.671,0.89817,0.152048,4,15,0,-295.684,0.191469,0.291561,0.05932,0.0409936,0.342879
295.143,0.777846,0.152048,4,31,0,-293.508,0.173713,0.302512,0.0552981,0.0400478,0.350951
